Sigla Empresa;Fecha;Origen;Destino;Tipo de Equipo;Número de Vuelos;Horas Bloque;Sillas;Carga Ofrecida Kg;Pasajeros A Bordo;Distancia;Trafico;Tipo de Vuelo;Nombre Empresa;Ciudad Origen;Ciudad Destino;Pais Origen;Pais Destino;Apto_Origen;Apto_Destino;Grupo de Empresas;OW;Ruta;Millas;Año;Mes
AVA;1/11/2019;ADZ;BOG;A321;62;126,14;11711;47628;10034;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2019;nov
AVA;1/11/2019;ADZ;BOG;A320;55;113,47;8248;58647;7021;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2019;nov
AVA;1/11/2019;ADZ;BOG;A319;2;4,18;240;2889;205;;Domestic;Regular;AVIANCA;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;AVA;ADZ-BOG;ADZ-BOG;749;2019;nov
ARE;1/01/2017;ADZ;BOG;A319;57;117,85;8208;997500;7634;1205,47;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;SAN ANDRES-GUSTAVO ROJAS PINILLA;BOGOTA - ELDORADO;LAN;ADZ-BOG;ADZ-BOG;749;2017;ene
ARE;1/01/2017;ADZ;BOG;A320;59;122,62;10242;1150500;9193;1205,47;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;SAN ANDRES-GUSTAVO ROJAS PINILLA;BOGOTA - ELDORADO;LAN;ADZ-BOG;ADZ-BOG;749;2017;ene
ARE;1/01/2017;BOG;ADZ;A319;54;120,48;7776;945000;6641;1205,47;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;BOGOTA - ELDORADO;SAN ANDRES-GUSTAVO ROJAS PINILLA;LAN;BOG-ADZ;ADZ-BOG;749;2017;ene
ARE;1/01/2017;BOG;ADZ;A320;63;141,22;10932;1228500;8038;1205,47;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;BOGOTA - ELDORADO;SAN ANDRES-GUSTAVO ROJAS PINILLA;LAN;BOG-ADZ;ADZ-BOG;749;2017;ene
ARE;1/11/2019;BOG;ADZ;A320;108;237,22;18792;1798010;15115;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2019;nov
ARE;1/11/2019;BOG;ADZ;A319;16;33,32;2304;230773;1877;;Domestic;Regular;AIRES;BOGOTA;SAN ANDRES - ISLA;COLOMBIA;COLOMBIA;NA;NA;LAN;BOG-ADZ;ADZ-BOG;749;2019;nov
ARE;1/11/2019;ADZ;BOG;A320;109;213,4;18966;2031670;15276;;Domestic;Regular;AIRES;SAN ANDRES - ISLA;BOGOTA;COLOMBIA;COLOMBIA;NA;NA;LAN;ADZ-BOG;ADZ-BOG;749;2019;nov
